,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,bodies bodies bodies,4,13,9,10
1,1,last night in soho,6,13,10,27
2,2,the munsters,4,14,6,30
3,3,orphan: first kill,3,8,14,88
4,4,resident evil: welcome to raccoon city,2,13,1,268
5,5,crimes of the future,6,13,1,366
6,6,men,6,7,14,488
7,7,morbius,2,16,14,28
8,8,day shift,2,6,6,55
9,9,malnazidos,2,16,6,19
10,10,watcher,6,13,9,79
11,11,orphan,9,10,9,1
12,12,midsommar,6,13,10,27
13,13,american psycho,3,8,14,88
14,14,old,6,13,10,27
15,15,scream,9,10,9,1
16,16,mad god,0,7,14,208
17,17,srpski film,9,10,9,1
18,18,get out,9,10,9,1
19,19,hellboy,2,16,6,19
20,20,the mist,9,1,9,38
21,21,overlord,2,13,1,268
22,22,fresh,4,13,9,10
23,23,hocus pocus 2,4,14,6,30
24,24,hereditary,6,13,10,27
25,25,spree,2,6,4,283
26,26,the mortal instruments: city of bones,2,16,6,19
27,27,resident evil,2,13,1,268
28,28,prey,2,8,14,59
29,29,it chapter two,6,7,14,488
30,30,the conjuring,9,10,9,1
31,31,scream 6,9,10,9,1
32,32,us,9,10,9,1
33,33,fear street: 1994,6,13,10,27
34,34,alien: covenant,9,1,9,38
35,35,the thing,9,10,1,49
36,36,the vvitch: a new-england folktale,6,7,14,488
37,37,annihilation,12,8,14,123
38,38,the deadly mantis,10,13,1,179
39,39,fear street: 1978,6,13,10,27
40,40,the shallows,2,8,14,59
41,41,beast,12,8,14,123
42,42,sinister,9,10,9,1
43,43,the cabin in the woods,9,10,9,1
44,44,a quiet place part ii,6,13,1,366
45,45,hocus pocus,4,14,6,30
46,46,the meg,2,13,1,268
47,47,the mummy,2,16,6,19
48,48,sweeney todd: the demon barber of fleet street,6,13,2,238
49,49,mother!,6,13,10,27
50,50,underwater,2,13,1,268
51,51,a quiet place,6,13,1,366
52,52,predator,2,16,14,28
53,53,the hunt,2,13,9,94
54,54,the lighthouse,6,7,14,488
55,55,lamb,6,7,14,488
56,56,firestarter,6,13,1,366
57,57,interview with the vampire: the vampire chronicles,6,7,14,488
58,58,resurrection,3,8,14,88
59,59,the empty man,9,10,9,1
60,60,suspiria,6,7,14,488
61,61,bone tomahawk,6,13,0,242
62,62,ready or not,2,6,14,2
63,63,from dusk till dawn,2,5,14,139
64,64,psycho,9,10,9,1
65,65,texas chainsaw massacre,3,13,9,117
66,66,de uskyldige,6,7,14,488
67,67,jeepers creepers: reborn,9,10,9,1
68,68,army of the dead,2,5,14,139
69,69,doctor sleep,6,7,14,488
70,70,brightburn,6,13,10,27
71,71,28 days later...,6,13,1,366
72,72,the night house,9,10,9,1
73,73,insidious,9,10,9,1
74,74,dracula,6,7,14,488
75,75,it follows,9,10,9,1
76,76,constantine,2,7,14,93
77,77,life,9,1,9,38
78,78,el hoyo,9,1,9,38
79,79,the invisible man,6,13,10,27
80,80,world war z,2,16,14,28
81,81,event horizon,9,1,9,38
82,82,the new mutants,2,13,10,57
83,83,10 cloverfield lane,6,13,10,27
84,84,busanhaeng,2,13,9,94
85,85,under the skin,6,13,10,27
86,86,malignant,3,13,10,127
87,87,what ever happened to baby jane?,6,13,9,79
88,88,saw,9,10,9,1
89,89,blade,2,13,1,268
90,90,the rocky horror picture show,4,13,2,204
91,91,the others,9,10,9,1
92,92,don't breathe,3,13,9,117
93,93,titane,6,13,1,366
94,94,the killing of a sacred deer,6,13,10,27
95,95,eight for silver,5,13,10,114
96,96,the poughkeepsie tapes,9,10,9,1
97,97,vivarium,9,10,1,49
98,98,the crow,2,5,8,269
99,99,hotel transylvania: transformania,0,16,5,3
100,100,escape room: tournament of champions,2,16,14,28
101,101,the conjuring: the devil made me do it,9,10,9,1
102,102,the descent,12,13,9,42
103,103,the craft,6,7,14,488
104,104,zombieland,2,6,14,2
105,105,they live,2,13,1,268
106,106,a cure for wellness,6,7,14,488
107,107,don't breathe 2,2,5,14,139
108,108,the rental,6,13,10,27
109,109,urban legend,9,10,9,1
110,110,the visit,9,10,9,1
111,111,spiral: from the book of saw,3,13,10,127
112,112,little shop of horrors,4,13,2,204
113,113,the fly,6,13,1,366
114,114,friday the 13th,9,10,9,1
115,115,47 meters down,12,8,14,123
116,116,antlers,6,13,10,27
117,117,vampires,2,13,9,94
118,118,jaws 2,12,13,9,42
119,119,escape room,2,16,14,28
120,120,gerald's game,6,13,9,79
121,121,the purge,9,1,9,38
122,122,la tua presenza nuda!,3,8,14,88
123,123,ang-ma-reul bo-at-da,2,5,8,269
124,124,resident evil: apocalypse,2,13,1,268
125,125,doom,2,13,1,268
126,126,mandy,2,7,14,93
127,127,the house that jack built,3,8,14,88
128,128,pitch black,2,13,1,268
129,129,climax,6,13,12,110
130,130,the conjuring 2,9,10,9,1
131,131,dark shadows,4,7,14,33
132,132,gremlins,4,7,14,33
133,133,marrowbone,12,8,14,123
134,134,glass,6,13,1,366
135,135,blair witch,9,10,9,1
136,136,evil dead rise,5,13,9,132
137,137,sleepy hollow,5,13,10,114
138,138,the mummy: tomb of the dragon emperor,2,7,14,93
139,139,cloverfield,2,13,1,268
140,140,the cloverfield paradox,2,13,1,268
141,141,choose or die,6,13,9,79
142,142,resident evil: retribution,2,13,1,268
143,143,no one gets out alive,6,13,10,27
144,144,antichrist,6,13,9,79
145,145,the cell,3,13,1,184
146,146,fantasy island,5,13,10,114
147,147,the forever purge,2,13,9,94
148,148,scary stories to tell in the dark,12,13,10,183
149,149,teeth,4,7,14,33
150,150,the dead don't die,4,7,14,33
151,151,gokseong,6,13,10,27
152,152,the ritual,9,10,9,1
153,153,crawl,2,16,14,28
154,154,freaky,4,13,9,10
155,155,alien resurrection,2,13,1,268
156,156,the boy,9,10,9,1
157,157,the faculty,9,10,1,49
158,158,halloween,3,13,9,117
159,159,the witches,12,6,15,7
160,160,angel heart,9,10,9,1
161,161,alien³,2,13,1,268
162,162,the nun,9,10,9,1
163,163,willy's wonderland,2,6,14,2
164,164,crimson peak,6,13,10,27
165,165,studio 666,4,13,12,220
166,166,death becomes her,4,7,14,33
167,167,the turning,6,13,10,27
168,168,cube,6,13,10,27
169,169,avp: alien vs. predator,2,16,14,28
170,170,unhinged,2,13,9,94
171,171,hotel transylvania,0,16,5,3
172,172,annabelle,9,10,9,1
173,173,the invitation,6,13,10,27
174,174,gwoemul,2,8,14,59
175,175,resident evil: the final chapter,2,13,1,268
176,176,alone,6,13,10,27
177,177,ghostland,6,13,10,27
178,178,the devil's rejects,3,13,0,221
179,179,things heard &amp; seen,6,13,10,27
180,180,47 meters down: uncaged,12,8,14,123
181,181,1408,5,13,10,114
182,182,the covenant,2,16,6,19
183,183,the eden theory,9,1,9,38
184,184,case 39,9,10,9,1
185,185,saint maud,6,13,10,27
186,186,haunted mansion,4,8,15,106
187,187,underworld: blood wars,2,16,6,19
188,188,hellboy ii: the golden army,2,16,6,19
189,189,the addams family 2,0,16,5,3
190,190,annabelle: creation,9,10,9,1
191,191,jaws 3-d,12,13,9,42
192,192,the return of the living dead,4,13,1,20
193,193,the autopsy of jane doe,9,10,9,1
194,194,scooby-doo 2: monsters unleashed,12,6,15,7
195,195,species,2,13,1,268
196,196,resident evil: extinction,2,13,1,268
197,197,let me in,6,7,14,488
198,198,green room,3,8,14,88
199,199,28 weeks later,2,16,14,28
200,200,high life,12,8,14,123
201,202,death note,3,8,6,164
202,203,in the mouth of madness,6,7,14,488
203,204,zombieland: double tap,2,6,14,2
204,205,jaws: the revenge,12,13,9,42
205,206,hollow man,2,13,1,268
206,207,the deep house,6,13,10,27
207,208,predator 2,2,13,1,268
208,209,kol,3,13,10,127
209,210,possessor,9,10,1,49
210,211,the island of dr. moreau,9,1,9,38
211,212,anaconda,2,16,14,28
212,213,pandorum,2,13,10,57
